name,books,movies,tv_shows,video_games,total_entertainment,pct_screen
Aaliyah,0.5,1.5,4.6,4.9,11.5,95.65
Abigail,0.0,1.4,4.5,4.8,10.7,100.0
Addison,0.5,1.6,4.5,5.0,11.6,95.69
Adeline,3.5,4.4,4.5,6.6,19.0,81.58
Alana,2.8,3.9,3.8,5.6,16.1,82.61
Alexander,5.8,5.1,4.6,6.9,22.4,74.11
Alivia,4.2,5.0,4.5,6.7,20.4,79.41
Amara,3.2,4.1,4.5,5.6,17.4,81.61
Amelia,0.0,1.5,4.6,4.9,11.0,100.0
Annabelle,4.0,5.1,4.1,6.0,19.2,79.17
Arabella,4.5,5.8,3.8,6.7,20.8,78.37
Aria,0.5,1.6,4.8,4.7,11.600000000000001,95.69
Aubrey,1.0,1.6,5.1,5.0,12.7,92.13
Aurora,0.5,1.2,4.8,5.0,11.5,95.65
Ava,0.5,1.4,5.4,5.0,12.3,95.93
Avery,1.0,1.5,6.6,5.7,14.8,93.24
Beatrice,3.5,4.6,4.5,6.1,18.7,81.28
Bella,0.5,1.5,5.1,5.1,12.2,95.9
Benjamin,6.2,5.7,4.9,6.7,23.5,73.62
Bianca,5.8,6.9,3.9,7.7,24.299999999999997,76.13
Brooklyn,3.8,4.5,4.8,6.4,19.5,80.51
Calista,3.8,5.0,3.3,6.0,18.1,79.01
Callie,3.2,4.0,4.2,6.1,17.5,81.71
Camilla,5.0,5.1,4.8,6.5,21.4,76.64
Cecilia,3.2,4.2,4.1,5.6,17.1,81.29
Celeste,4.5,5.6,4.4,6.3,20.8,78.37
Charlotte,0.5,1.4,4.4,4.4,10.700000000000001,95.33
Chloe,0.8,1.5,5.7,5.1,13.1,93.89
Clara,0.5,1.5,5.6,5.3,12.899999999999999,96.12
Clementine,6.2,6.1,5.4,7.2,24.900000000000002,75.1
Colette,3.2,4.2,4.4,5.7,17.5,81.71
Cordelia,4.5,6.3,4.4,7.3,22.5,80.0
Daniel,5.8,5.4,5.1,6.2,22.499999999999996,74.22
Delilah,4.8,5.3,4.1,6.4,20.6,76.7
Demetria,5.8,5.7,4.8,6.9,23.200000000000003,75.0
Diana,3.0,4.7,4.2,6.1,18.0,83.33
Eleanor,3.2,4.6,4.4,6.6,18.799999999999997,82.98
Elena,0.8,1.3,3.4,4.5,10.0,92.0
Eliana,0.5,1.6,5.7,5.1,12.9,96.12
Elijah,5.0,5.2,4.5,6.5,21.2,76.42
Elise,2.5,3.7,3.6,5.5,15.3,83.66
Eliza,3.8,4.5,4.5,5.4,18.200000000000003,79.12
Elizabeth,0.0,1.1,4.5,4.3,9.899999999999999,100.0
Ella,1.0,1.3,5.8,5.4,13.5,92.59
Elodie,4.8,5.1,4.1,5.8,19.799999999999997,75.76
Eloise,3.0,4.2,4.5,5.7,17.4,82.76
Emily,0.5,1.4,5.2,5.1,12.2,95.9
Esmeralda,5.0,4.9,4.2,5.6,19.700000000000003,74.62
Evelyn,0.5,1.6,5.1,4.8,12.0,95.83
Faustina,5.0,6.7,4.2,7.7,23.599999999999998,78.81
Fiona,5.2,5.9,4.5,7.1,22.700000000000003,77.09
Florence,4.5,4.8,4.8,5.9,20.0,77.5
Freya,4.0,4.5,5.1,6.0,19.6,79.59
Gabriella,3.2,3.6,4.4,5.6,16.8,80.95
Genevieve,3.5,4.7,4.4,6.1,18.7,81.28
Giselle,5.2,5.5,4.5,6.8,22.0,76.36
Grace,0.8,1.7,5.7,5.7,13.899999999999999,94.24
Graciela,4.5,4.9,4.1,6.3,19.8,77.27
Hailey,2.5,3.5,3.0,5.0,14.0,82.14
Hallie,3.0,3.9,4.1,5.8,16.8,82.14
Hannah,0.5,1.4,5.1,5.2,12.2,95.9
Harper,0.5,1.5,5.6,5.4,13.0,96.15
Hazel,0.5,1.4,4.9,5.0,11.8,95.76
Heidi,3.0,4.4,3.9,5.5,16.8,82.14
Hermione,5.2,5.7,4.9,6.7,22.5,76.89
Isabeau,4.5,6.0,4.8,7.2,22.5,80.0
